Angle of repose,Angle of repose points,Compressibility,Compressibility points,Angle of spatula,Angle of spatula points,Uniformity coefficient,Uniformity coefficient points,Cohesion,Cohesion points,Flowability points,Flowability
75,2,,,75,10,,,56,4.5,50,"Poor (Must agitate, vibrate)"
76,2,,,76,9.5,,,57,2,51,"Poor (Must agitate, vibrate)"
77,2,,,77,7,,,58,2,52,"Poor (Must agitate, vibrate)"
78,2,,,78,7,,,59,2,53,"Poor (Must agitate, vibrate)"
79,2,,,79,7,,,60,2,54,"Poor (Must agitate, vibrate)"
80,2,,,80,7,,,61,2,55,"Poor (Must agitate, vibrate)"
81,2,,,81,7,,,62,2,56,"Poor (Must agitate, vibrate)"
82,2,,,82,7,,,63,2,57,"Poor (Must agitate, vibrate)"
83,2,,,83,7,,,64,2,58,"Poor (Must agitate, vibrate)"
84,2,,,84,7,,,65,2,59,"Poor (Must agitate, vibrate)"
85,2,,,85,7,,,66,2,60,"Passable (Borderline, Material may hang up)"
86,2,,,86,7,,,67,2,61,"Passable (Borderline, Material may hang up)"
87,2,,,87,7,,,68,2,62,"Passable (Borderline, Material may hang up)"
88,2,,,88,7,,,69,2,63,"Passable (Borderline, Material may hang up)"
89,2,,,89,7,,,70,2,64,"Passable (Borderline, Material may hang up)"
90,0,,,90,5,,,71,2,65,"Passable (Borderline, Material may hang up)"
,,,,91,4.5,,,72,2,66,"Passable (Borderline, Material may hang up)"
,,,,92,2,,,73,2,67,"Passable (Borderline, Material may hang up)"
,,,,93,2,,,74,2,68,"Passable (Borderline, Material may hang up)"
,,,,94,2,,,75,2,69,"Passable (Borderline, Material may hang up)"
,,,,95,2,,,76,2,70,"Fair (Aid not needed, but vibrate if necessary)"
,,,,96,2,,,77,2,71,"Fair (Aid not needed, but vibrate if necessary)"
,,,,97,2,,,78,2,72,"Fair (Aid not needed, but vibrate if necessary)"
,,,,98,2,,,79,2,73,"Fair (Aid not needed, but vibrate if necessary)"
,,,,99,2,,,,,74,"Fair (Aid not needed, but vibrate if necessary)"
,,,,,,,,,,75,"Fair (Aid not needed, but vibrate if necessary)"
,,,,,,,,,,76,"Fair (Aid not needed, but vibrate if necessary)"
,,,,,,,,,,77,"Fair (Aid not needed, but vibrate if necessary)"
,,,,,,,,,,78,"Fair (Aid not needed, but vibrate if necessary)"
,,,,,,,,,,79,"Fair (Aid not needed, but vibrate if necessary)"
,,,,,,,,,,80,"Good (Aid not needed, will not arch)"
,,,,,,,,,,81,"Good (Aid not needed, will not arch)"
,,,,,,,,,,82,"Good (Aid not needed, will not arch)"
,,,,,,,,,,83,"Good (Aid not needed, will not arch)"
,,,,,,,,,,84,"Good (Aid not needed, will not arch)"
,,,,,,,,,,85,"Good (Aid not needed, will not arch)"
,,,,,,,,,,86,"Good (Aid not needed, will not arch)"
,,,,,,,,,,87,"Good (Aid not needed, will not arch)"
,,,,,,,,,,88,"Good (Aid not needed, will not arch)"
,,,,,,,,,,89,"Good (Aid not needed, will not arch)"
,,,,,,,,,,90,"Excellent (Aid not needed, will not arch)"
,,,,,,,,,,91,"Excellent (Aid not needed, will not arch)"
,,,,,,,,,,92,"Excellent (Aid not needed, will not arch)"
,,,,,,,,,,93,"Excellent (Aid not needed, will not arch)"
,,,,,,,,,,94,"Excellent (Aid not needed, will not arch)"
,,,,,,,,,,95,"Excellent (Aid not needed, will not arch)"
,,,,,,,,,,96,"Excellent (Aid not needed, will not arch)"
,,,,,,,,,,97,"Excellent (Aid not needed, will not arch)"
,,,,,,,,,,98,"Excellent (Aid not needed, will not arch)"
,,,,,,,,,,99,"Excellent (Aid not needed, will not arch)"
,,,,,,,,,,100,"Excellent (Aid not needed, will not arch)"
